epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,1233.87,0.49402,0.39809,0.97326,0.88702,0.75551,0.83412,0.6365,0.90858,0.78554,1.28066,0.000584384,0.000584384,0.000584384
166,1243.16,0.47352,0.38752,0.96328,0.90497,0.75995,0.84195,0.63039,0.89422,0.77048,1.26922,0.000577782,0.000577782,0.000577782
167,1250.31,0.47115,0.38557,0.97059,0.86258,0.76911,0.84311,0.63199,0.88888,0.72542,1.25378,0.000571181,0.000571181,0.000571181
168,1256.28,0.48884,0.39848,0.9779,0.86966,0.77559,0.8422,0.6287,0.8925,0.74596,1.25585,0.00056458,0.00056458,0.00056458
169,1265.6,0.46754,0.38834,0.96986,0.84968,0.80944,0.85055,0.63571,0.88887,0.7359,1.28063,0.000557978,0.000557978,0.000557978
170,1271.77,0.48916,0.39708,0.97705,0.86013,0.78076,0.83899,0.62976,0.88506,0.79316,1.2861,0.000551377,0.000551377,0.000551377
171,1279.74,0.47078,0.39051,0.96425,0.85906,0.7771,0.83358,0.63542,0.92597,0.82072,1.30574,0.000544776,0.000544776,0.000544776
172,1287.34,0.49105,0.40509,0.9675,0.87281,0.78456,0.84026,0.64535,0.91075,0.81207,1.30822,0.000538174,0.000538174,0.000538174
173,1293.4,0.47316,0.39358,0.97035,0.87405,0.7702,0.85369,0.63893,0.90627,0.81347,1.30517,0.000531573,0.000531573,0.000531573
174,1303.29,0.45806,0.37675,0.958,0.83071,0.80825,0.85532,0.63056,0.90658,0.77826,1.28536,0.000524972,0.000524972,0.000524972
175,1309.49,0.47923,0.39342,0.96301,0.89487,0.7664,0.85141,0.62521,0.92758,0.7659,1.32384,0.00051837,0.00051837,0.00051837
176,1316.74,0.46026,0.38281,0.95556,0.84044,0.81186,0.84959,0.63414,0.91005,0.74109,1.29121,0.000511769,0.000511769,0.000511769
177,1324.98,0.46689,0.38401,0.97262,0.86342,0.76783,0.84755,0.63321,0.89323,0.71117,1.25728,0.000505168,0.000505168,0.000505168
178,1331.11,0.49313,0.39495,0.98177,0.84739,0.78278,0.85539,0.64413,0.88525,0.69005,1.25583,0.000498566,0.000498566,0.000498566
179,1340.41,0.47119,0.39926,0.95878,0.86074,0.79424,0.86346,0.65842,0.89004,0.68374,1.27802,0.000491965,0.000491965,0.000491965
